Reporter Identifier	VALUE
EDNRA-Yu-S	4044.754667
GI_10938013-S	15179.848
GI_33457353-S	1884.165
GI_4507456-S	4196.347
GI_5174574-S	15118.414
sarroybu-S	1874.993667
1557685_at-S	745.7006667
1560225_at-S	1090.383
1561073_at-S	4943.141
213310_at-S	2590.203
214174_s_at-S	819.882
214384_s_at-S	1597.204333
216584_at-S	2755.192
225311_at-S	6980.549667
228178_s_at-S	543.1263333
228687_at-S	407.985
228798_x_at-S	720.874
229455_at-S	2545.732
231181_at-S	600.214
231651_at-S	838.8843333
233424_at-S	525.246
235196_at-S	4596.088
236338_at-S	4486.316667
236472_at-S	4424.103333
240093_x_at-S	1308.313
240236_at-S	677.037
240543_at-S	2766.215
241944_x_at-S	2161.921333
242763_at-S	595.061
243636_s_at-S	3217.616333
244579_at-S	3520.440333
AA621488-Yu-S	2544.831667
AF119310-S	567.344
AFF4-Yu-S	8145.178
AI015000-Yu-S	801.2043333
AI017592-Yu-S	346.7846667
AI288607-Yu-S	654.4743333
AI431618-Yu-S	7604.237333
AI767512-Yu-S	501.6316667
AI791860-S	7189.457667
AI821573-Yu-S	742.2223333
ANK3-Glinsky-S	6336.601
AW014022-S	1635.140667
AW572379-S	2701.818333
BE144297-S	557.9563333
BENE-Singh-S	3376.748
BUB1-Glinsky-S	855.906
BX096646-Yu-S	2051.499
C2orf33-Yu-S	3775.109333
CCNB1-Glinsky-S	951.454
CD4-Yu-S	3432.876333
CDS2-Glinsky-S	2904.883333
CHAF1A-Glinsky-S	2766.467
CHGA-Singh-S	2765.583667
COL1A2-Singh-S	15631.50233
COMMD5-S	646.307
CV364590-S	477.846
DNAJB1-Yu-S	8531.598667
EDG7.a-S	3030.513333
ERG_SV-S	13181.46233
ETV4_X-S	501.4773333
FGFR2-Glinsky-S	2036.387667
FLJ12193-S	1457.245
FLJ36036-S	379.866
FOS-Glinsky-S	25346.16667
GBL-Yu-S	2126.151333
GBX2-Glinsky-S	358.0446667
GDEP-S	1788.347667
GI_10346134-S	2891.971333
GI_10518500-S	3154.852
GI_10835012-S	783.7276667
GI_11056009-S	368.5596667
GI_11496986-S	7885.655
GI_11612673-A	4864.191667
GI_12232472-S	4736.152667
GI_12751492-S	1329.598667
GI_13124878-A	23759.25633
GI_13259521-A	6273.791667
GI_13376207-S	2405.76
GI_13376700-S	5121.428667
GI_13514821-A	7524.645333
GI_13569888-S	3457.410667
GI_13699817-S	873.6655
GI_13876385-S	2697.654667
GI_13904863-S	2191.875333
GI_13994357-S	3907.460667
GI_14150117-S	5256.587667
GI_14249567-S	3059.959667
GI_14589853-A	10819.74933
GI_14589875-A	2323.242
GI_14602458-S	18421.19433
GI_14916436-S	10372.18267
GI_15022798-S	2973.748667
GI_15147331-S	2475.728667
GI_16554596-A	5145.031
GI_17158040-A	6653.530667
GI_17318577-S	3545.877667
GI_17402908-A	1615.019
GI_17978511-A	4927.188
GI_17981703-S	1119.569667
GI_18034691-A	6252.846333
GI_18087810-S	1895.320667
GI_18087824-S	377.2043333
GI_18375500-A	9839.752667
GI_18375636-A	3098.337
GI_18426896-A	23232.665
GI_18490999-A	1118.912
GI_18860908-S	1469.798667
GI_18860911-A	2647.132667
GI_19718752-S	1955.173333
GI_19743807-S	3022.109667
GI_19743913-A	3867.876333
GI_19747284-S	8495.690333
GI_19923214-S	5951.329667
GI_19923273-A	1586.990333
GI_19923288-S	1504.860333
GI_19923318-S	1050.336667
GI_19923351-S	18997.29267
GI_19923725-S	6356.918667
