Reporter Identifier	VALUE
GI_10938013-S	26999.39967
GI_33457353-S	3936.401667
GI_4507456-S	4659.355
GI_5174574-S	12866.83567
GI_10092618-S	14565.289
GI_10337586-S	455.1166667
GI_10834981-S	16983.574
GI_10834983-S	3395.179333
GI_10835001-S	13028.25433
GI_10835048-S	24250.47667
GI_10835156-S	12972.05333
GI_10835158-S	6091.568667
GI_10835160-S	1682.733667
GI_10835170-S	544.596
GI_10863872-S	1736.688
GI_10863920-S	11623.777
GI_10880127-S	6203.340333
GI_10938009-A	8734.546
GI_11038640-A	7011.298667
GI_11068002-S	12217.23333
GI_11321592-S	11683.62733
GI_11321596-S	3006.024667
GI_11342665-S	8705.452
GI_11496238-S	10381.80033
GI_11496880-S	9885.948
GI_11496979-S	2257.583
GI_11496989-S	10506.54733
GI_11641410-A	3310.177
GI_12408643-A	1210.759333
GI_12408650-S	11708.657
GI_12408657-A	523.727
GI_12545405-A	5658.451
GI_12669910-S	2919.516667
GI_12669913-S	3553.379
GI_12669916-S	3449.5665
GI_12719454-A	682.752
GI_13027797-S	4567.412667
GI_13027798-S	1472.845333
GI_13027803-S	744.5466667
GI_13027804-S	1370.937667
GI_13112047-A	9499.215
GI_13112049-A	4094.315333
GI_13128859-S	7678.331333
GI_13186246-A	5993.071333
GI_13186266-A	1231.022
GI_13259500-A	5564.061333
GI_13259537-S	5731.042333
GI_13325053-S	598.3073333
GI_13325059-S	10931.40467
GI_13325062-S	4215.65
GI_13376997-S	3152.301667
GI_13386511-A	1092.451667
GI_13435352-A	902.8873333
GI_13518020-A	2679.356
GI_13518031-S	4499.164
GI_13518226-A	1792.467333
GI_13540470-S	3418.569667
GI_14141149-S	15938.2775
GI_14165449-A	2740.565333
GI_14574570-S	1551.246
GI_14589887-S	18241.76067
GI_14589947-S	8705.107667
GI_14591901-A	1776.998667
GI_14670387-A	5471.907
GI_14702166-A	4411.862
GI_14719826-S	14000.9195
GI_14790114-A	4406.168667
GI_14790185-A	5643.093667
GI_14916487-A	1604.99
GI_14916495-A	1658.6
GI_15011921-S	5201.710333
GI_15011927-A	13750.46633
GI_15055544-A	1005.941667
GI_15055548-A	428.1943333
GI_15147344-S	4387.019333
GI_15147349-A	511.0466667
GI_15208655-A	9756.897
GI_15451776-A	6666.665333
GI_15451785-A	2040.325333
GI_15451787-S	3038.638667
GI_15451788-S	8487.543333
GI_15451855-S	3039.589333
GI_15451897-S	1431.186
GI_15451899-S	464.7386667
GI_15718711-A	9152.913667
GI_15834616-S	2957.236667
GI_16306531-A	3896.540333
GI_16507956-S	1047.852667
GI_16753217-S	8245.858333
GI_16905527-A	8226.476667
GI_16933566-S	10297.32867
GI_16936521-S	1017.962667
GI_16936523-S	443.269
GI_16936529-A	4162.532
GI_16936532-A	8395.269333
GI_16950653-S	1869.868667
GI_16950654-S	16939.13267
GI_16950656-S	3401.965667
GI_16950657-S	5413.327333
GI_16950658-S	3008.489
GI_16950659-S	5009.376667
GI_17017983-S	8327.324667
GI_17318560-A	2946.931667
GI_17402917-S	2971.984
GI_17505196-S	1933.612333
GI_17738295-A	3690.087333
GI_17738313-S	6555.308
GI_17978496-A	10701.47033
GI_17978497-S	8530.584667
GI_17981693-A	3410.825
GI_17981698-A	1797.482
GI_17981701-A	2076.035
GI_18104968-A	1631.366
GI_18641367-A	9236.378333
GI_18765712-S	7930.234
GI_18765747-A	14556.05733
GI_18860850-A	8258.415333
GI_18860895-A	11904.356
GI_18860897-S	5742.131
GI_19482173-S	6514.189333
GI_19528651-A	2797.649667
GI_19718775-S	3945.436333
GI_19743818-A	17490.36533
GI_19743853-A	16294.00867
GI_19913404-S	8876.41
GI_19913405-S	4870.448333
GI_19923110-S	7078.987
GI_19923111-S	7082.473667
GI_19923154-S	1111.540667
GI_19923162-S	3142.375667
GI_19923194-S	1305.427667
GI_19923222-S	7371.795333
GI_19923309-S	564.499
GI_19923366-S	10031.47833
GI_19924130-A	7643.609333
GI_19924134-A	1794.044333
GI_19924136-S	982.2873333
GI_19924137-S	11527.53933
GI_19924164-S	652.0546667
GI_19924171-S	4697.534667
GI_19924298-S	6497.808
GI_20070134-S	1640.995333
GI_20070172-S	9203.757
GI_20070217-S	10615.81433
GI_20127410-S	15577.87767
GI_20127419-S	727.2283333
GI_20127459-S	5413.955667
GI_20127471-S	4550.566333
GI_20127489-S	4977.457667
GI_20127497-S	1522.4435
GI_20143929-A	1558.162
GI_20143951-A	4167.528333
GI_20149501-S	14355.672
GI_20336200-A	2155.044333
GI_20336230-A	2064.191333
GI_20336333-A	10803.56067
GI_20336471-S	12217.99967
GI_20357555-A	10852.85
GI_20428651-S	1449.536
GI_20986507-A	8898.856667
GI_20986513-A	4518.417
GI_21040323-A	7658.236
GI_21071041-S	6157.328667
GI_21071042-S	944.7763333
GI_21071055-S	14732.56233
GI_21237762-S	20300.236
GI_21322251-S	8835.276333
GI_21359903-S	5289.351667
GI_21361085-S	2020.040667
GI_21361115-S	2602.654333
GI_21361192-S	14290.30333
GI_21361206-S	3505.257
GI_21361291-S	14839.286
GI_21361305-S	784.5773333
GI_21361613-S	7718.551333
GI_21450843-A	5095.473333
GI_21464104-S	10841.20667
GI_21464121-A	11980.46667
GI_21536300-A	13695.768
GI_21536313-A	994.1966667
GI_21536329-S	7135.957
GI_21536431-S	8307.335667
GI_21536467-A	4452.666
GI_21614497-S	6786.494
GI_21614498-S	15594.44167
GI_21614509-A	5915.192667
GI_21618337-A	12004.80367
GI_21618343-S	4956.899333
GI_21626462-S	9143.192667
GI_22027615-A	3142.488667
GI_22027623-A	7677.244667
GI_22035597-S	2800.377333
GI_22035683-S	1577.985667
GI_22202618-A	7029.805
GI_22538485-S	2397.32
GI_22547118-A	3893.146333
GI_23110949-S	16824.36333
GI_23199992-S	4840.270333
GI_23308726-S	5010.837667
GI_23312365-S	3029.607667
GI_23312370-A	3096.540667
GI_23312372-S	13240.67633
GI_23510363-A	2519.263333
GI_23510430-A	6243.184
GI_23510439-S	5344.049
GI_24041034-S	5571.125333
GI_24119162-S	2263.539667
GI_24234689-A	7350.985
GI_24430217-S	1225.927667
GI_24430218-S	1104.213
GI_24475626-S	2897.668667
GI_24475887-S	4664.423
GI_24497437-S	903.0213333
GI_24497558-A	11018.09233
GI_25121959-S	6385.969
