Reporter Identifier	VALUE
GI_10938013-S	30900.96933
GI_33457353-S	3109.413
GI_4507456-S	6945.717
GI_5174574-S	9104.787
GI_10092618-S	13167.97167
GI_10337586-S	446.9556667
GI_10834981-S	12627.39767
GI_10834983-S	6031.816
GI_10835001-S	12492.63333
GI_10835048-S	14689.05
GI_10835156-S	7091.738333
GI_10835158-S	11183.60133
GI_10835160-S	1977.901
GI_10835170-S	914.207
GI_10863872-S	2972.248
GI_10863920-S	9558.628333
GI_10880127-S	5937.226
GI_10938009-A	10338.61067
GI_11038640-A	6864.393667
GI_11068002-S	10935.01133
GI_11321592-S	12094.655
GI_11321596-S	5788.083667
GI_11342665-S	10392.396
GI_11496238-S	8624.972333
GI_11496880-S	8223.687
GI_11496979-S	1879.133
GI_11496989-S	10041.17533
GI_11641410-A	2405.016333
GI_12408643-A	1475.409333
GI_12408650-S	9895.137
GI_12408657-A	545.5903333
GI_12545405-A	3634.315
GI_12669910-S	2699.702
GI_12669913-S	2321.530667
GI_12669916-S	3220.1855
GI_12719454-A	1862.951667
GI_13027797-S	6893.989
GI_13027798-S	1108.576667
GI_13027803-S	631.2593333
GI_13027804-S	7925.963
GI_13112047-A	7934.597333
GI_13112049-A	5092.861
GI_13128859-S	6334.605667
GI_13186246-A	8124.592667
GI_13186266-A	2707.437
GI_13259500-A	6200.37
GI_13259537-S	4890.862333
GI_13325053-S	572.8873333
GI_13325059-S	11255.985
GI_13325062-S	5728.265333
GI_13376997-S	3924.988333
GI_13386511-A	925.0753333
GI_13435352-A	849.1883333
GI_13518020-A	1982.511
GI_13518031-S	4489.524333
GI_13518226-A	1960.561333
GI_13540470-S	3861.219333
GI_14141149-S	11587.0735
GI_14165449-A	3878.805
GI_14574570-S	2172.9
GI_14589887-S	14383.30767
GI_14589947-S	8431.287333
GI_14591901-A	1830.331667
GI_14670387-A	3471.330333
GI_14702166-A	3545.236333
GI_14719826-S	13833.111
GI_14790114-A	3344.250667
GI_14790185-A	2796.368333
GI_14916487-A	1335.7525
GI_14916495-A	2940.498
GI_15011921-S	4561.552667
GI_15011927-A	8859.822333
GI_15055544-A	1000.761667
GI_15055548-A	412.424
GI_15147344-S	6282.318
GI_15147349-A	423.5343333
GI_15208655-A	13329.51933
GI_15451776-A	6438.374
GI_15451785-A	2622.923667
GI_15451787-S	4188.922
GI_15451788-S	12622.897
GI_15451855-S	5952.762333
GI_15451897-S	1868.843
GI_15451899-S	433.6436667
GI_15718711-A	6414.279
GI_15834616-S	1440.154
GI_16306531-A	6838.801
GI_16507956-S	1762.414
GI_16753217-S	11818.11133
GI_16905527-A	7576.682667
GI_16933566-S	10726.46033
GI_16936521-S	681.3093333
GI_16936523-S	625.706
GI_16936529-A	3297.054
GI_16936532-A	4747.627333
GI_16950653-S	1179.338333
GI_16950654-S	11845.749
GI_16950656-S	4296.338
GI_16950657-S	5425.147
GI_16950658-S	4119.498
GI_16950659-S	5617.022667
GI_17017983-S	7179.186
GI_17318560-A	1322.160667
GI_17402917-S	3692.865
GI_17505196-S	1075.106333
GI_17738295-A	2091.659667
GI_17738313-S	5984.441333
GI_17978496-A	12718.91867
GI_17978497-S	7227.688
GI_17981693-A	5183.238667
GI_17981698-A	1741.446333
GI_17981701-A	2125.883333
GI_18104968-A	1589.871333
GI_18641367-A	7144.583667
GI_18765712-S	6312.215
GI_18765747-A	19910.68333
GI_18860850-A	6094.656667
GI_18860895-A	12569.02633
GI_18860897-S	5965.793667
GI_19482173-S	5302.698667
GI_19528651-A	4786.213667
GI_19718775-S	5734.211
GI_19743818-A	18252.48167
GI_19743853-A	12118.43233
GI_19913404-S	6699.097333
GI_19913405-S	3326.513333
GI_19923110-S	9069.604
GI_19923111-S	7688.755
GI_19923154-S	906.1996667
GI_19923162-S	3002.439
GI_19923194-S	3732.173333
GI_19923222-S	5946.516
GI_19923309-S	488.0636667
GI_19923366-S	8701.964333
GI_19924130-A	7865.294
GI_19924134-A	1865.591
GI_19924136-S	828.8893333
GI_19924137-S	7327.95
GI_19924164-S	944.32
GI_19924171-S	3966.759
GI_19924298-S	8741.461667
GI_20070134-S	1631.028
GI_20070172-S	8618.065
GI_20070217-S	9651.245333
GI_20127410-S	15290.22833
GI_20127419-S	1000.081
GI_20127459-S	4426.929667
GI_20127471-S	7656.403667
GI_20127489-S	6285.499667
GI_20127497-S	1385.282
GI_20143929-A	1088.529
GI_20143951-A	3337.428
GI_20149501-S	13543.84933
GI_20336200-A	1712.671333
GI_20336230-A	1530.407
GI_20336333-A	10460.57733
GI_20336471-S	10769.66
GI_20357555-A	12152.38733
GI_20428651-S	1118.867667
GI_20986507-A	9316.383333
GI_20986513-A	4228.724
GI_21040323-A	8550.368
GI_21071041-S	5538.143667
GI_21071042-S	1031.822
GI_21071055-S	11445.97267
GI_21237762-S	17345.78233
GI_21322251-S	8455.717333
GI_21359903-S	5826.510333
GI_21361085-S	1316.285667
GI_21361115-S	4121.516333
GI_21361192-S	12236.029
GI_21361206-S	5806.034
GI_21361291-S	10915.893
GI_21361305-S	1512.755333
GI_21361613-S	11026.769
GI_21450843-A	2256.139333
GI_21464104-S	8534.390333
GI_21464121-A	8198.408667
GI_21536300-A	8504.833667
GI_21536313-A	1069.598667
GI_21536329-S	7925.509
GI_21536431-S	11206.87567
GI_21536467-A	6118.424333
GI_21614497-S	4357.418667
GI_21614498-S	13998.25267
GI_21614509-A	2317.251667
GI_21618337-A	10426.62433
GI_21618343-S	5005.648
GI_21626462-S	8167.412667
GI_22027615-A	3431.331667
GI_22027623-A	7080.068
GI_22035597-S	4381.699667
GI_22035683-S	2641.529667
GI_22202618-A	6473.678333
GI_22538485-S	2704.591667
GI_22547118-A	4725.328667
GI_23110949-S	14124.143
GI_23199992-S	3234.248667
GI_23308726-S	6177.834667
GI_23312365-S	3275.286333
GI_23312370-A	4832.671333
GI_23312372-S	9046.165333
GI_23510363-A	3730.039667
GI_23510430-A	4678.809667
GI_23510439-S	4990.5405
GI_24041034-S	5423.410667
GI_24119162-S	1890.102333
GI_24234689-A	5035.677
GI_24430217-S	1081.297667
GI_24430218-S	920.2326667
GI_24475626-S	2680.643333
GI_24475887-S	3971.550333
GI_24497437-S	914.698
GI_24497558-A	7309.195333
GI_25121959-S	6389.983333
GI_25952110-S	2659.571
GI_26051238-S	2960.478
GI_26787977-S	768.683
GI_27262658-S	10015.185
GI_27437029-S	564.1196667
GI_27437044-A	6203.691333
GI_27437048-A	868.0765
GI_27477091-A	3804.054667
GI_27545325-S	8050.078
GI_27597077-S	1511.484
GI_27883841-S	7511.389
GI_27886565-A	8317.008
GI_27886592-A	6523.305667
GI_27886606-A	6322.652667
GI_27886643-A	1072.919
GI_27894305-S	3828.725333
GI_27894318-A	3048.458667
GI_27894329-S	424.899
GI_27894367-S	4469.468
GI_27894369-S	4386.697667
GI_28178860-S	871.586
GI_28178862-S	1871.417
GI_28329415-A	4941.301333
GI_28416914-S	579.4986667
GI_28559089-S	5442.508
GI_28610153-S	6468.342
GI_28872793-S	4085.789667
GI_28916690-A	3929.876667
GI_29029631-S	554.7873333
GI_29171749-A	5427.384667
GI_29725608-S	8031.185333
GI_29789001-S	1691.530667
GI_30172563-S	12253.27867
GI_30795228-S	1926.979333
GI_30795239-A	8261.219667
GI_31077210-A	12825.19967
GI_31317226-S	33713.91067
GI_31377551-S	4635.645333
GI_31377801-S	2756.539667
GI_31542502-S	12383.56
GI_31542934-S	2431.135667
GI_31543215-S	15002.653
GI_31543400-S	9121.908
GI_31543649-S	16942.793
GI_31543966-S	6570.151333
GI_31652260-S	1206.732
GI_31657112-S	2649.333333
GI_31742533-S	5709.702667
GI_31981491-S	1320.334667
GI_32306519-S	4801.977
GI_32455243-A	2826.201
GI_32483362-A	2667.804667
GI_32528264-A	11539.61133
GI_32528300-S	2714.633667
GI_32967308-S	1402.124667
GI_33188434-A	2882.191333
GI_33188458-S	10988.99367
GI_33239450-A	5380.069
GI_33356171-S	11500.12633
GI_33519457-A	20611.7
GI_33636694-S	8639.111
GI_33636720-S	15258.61567
GI_33946284-A	6085.6
GI_34147322-S	870.7576667
GI_34147496-S	411.213
GI_34147555-S	8430.155333
GI_34147567-S	2813.578667
GI_34147600-S	1698.416333
GI_34147655-S	2299.065
GI_34147657-S	5507.834
GI_34147663-S	13829.72233
GI_34147667-S	6730.947
GI_34222218-S	5402.011667
GI_34222299-S	6066.351
GI_34304328-A	3342.670333
GI_34452719-S	8294.097667
GI_34452726-S	11377.033
GI_34485718-S	785.5163333
GI_34485723-A	8500.12
GI_34577121-S	8260.948
GI_34734077-S	6638.946
GI_37655156-S	9375.076
GI_38045905-A	10163.741
GI_38146097-S	3448.145667
GI_38201662-A	10209.191
GI_38201699-A	539.7226667
GI_38202216-A	9939.251667
GI_38261963-S	6003.805333
GI_38455387-S	5801.010333
GI_38455401-S	2455.183
GI_4502050-S	648.804
GI_4502144-S	1196.011
GI_4502192-S	9114.269
GI_4502450-S	772.5373333
GI_4502660-S	4723.678
GI_4502704-S	1218.321
GI_4503122-S	9584.550333
GI_4503126-S	7904.773667
GI_4503130-S	19972.39367
GI_4503250-S	7971.363
GI_4503412-S	7090.079667
GI_4503588-S	1776.331
GI_4503592-S	17374.276
GI_4503596-S	7399.016
GI_4503598-S	4320.171667
GI_4503600-S	4904.678667
GI_4503602-S	3632.685
GI_4503654-S	548.1816667
GI_4503706-S	961.4713333
GI_4503718-S	2946.614667
GI_4503752-A	4257.761
GI_4503816-S	7062.731
GI_4503832-S	6304.486667
GI_4503918-S	6330.829333
GI_4503920-A	2399.282
GI_4504032-S	496.7233333
GI_4504190-S	5972.677
GI_4504610-S	11447.49867
GI_4504614-S	516.891
GI_4504720-S	6591.984333
GI_4504808-S	22418.18133
GI_4504938-S	13039.048
GI_4504950-S	3204.757333
GI_4505004-S	490.415
GI_4505054-S	4696.365667
GI_4505068-S	5275.834667
GI_4505128-S	4032.235667
GI_4505138-S	5704.208333
GI_4505186-S	1989.634333
GI_4505204-S	3371.195667
GI_4505248-S	6491.156333
GI_4505264-S	720.8146667
GI_4505374-S	9559.466333
GI_4505392-S	1149.150333
GI_4505414-S	3317.413667
GI_4505460-S	12696.393
GI_4505474-S	1173.266667
GI_4505622-S	10761.99667
GI_4505854-S	1542.649
GI_4505864-S	4802.742667
